𢁼 zhǔ
𠰍 zhǔ,zhù
𩞈 zhú
𩳥 zhú
𠮌 zhú
𩶄 zhú
𧏿 zhú
𣽆 zhú
𢲿 zhú
𨞕 zhú,chù
𨲈 zhú
𩲬 zhú
𣤁 zhú
𩲠 zhú
𡎺 zhú
𣵸 zhú
𠷅 zhú
𥞏 zhú
𥾅 zhú
𡧨 zhú
𣏫 pāo
𦬸 zhú
𪋏 zhū
𪋑 zhū
𪏿 zhū
𧑤 zhū
𩴀 zhū
𩋵 zhū
𠧀 zhū
𩊣 zhū
𥛂 zhū
𡻌 zhū
𦧙 zhū
𢔪 zhū
𤥮 zhū
𤝹 zhū
𡴅 zhū
𪇞 zhòu
𩧁 zhòu
𩍧 zhòu
𧭍 zhòu
𩍌 zhòu
𦅸 zhòu
𥣙 zhòu,còng
𩋰 zhòu
𩗪 zhòu
𥲝 zhòu
𢷗 zhòu
𥀙 zhòu
𦂈 zhòu
𧛸 zhòu
𦁖 zhòu
𣻱 zhòu
𩊄 zhòu
𢃸 zhòu
𠊣 zhòu
𢼲 zhòu
𣆔 zhòu
𢓟 zhòu
𩧨 zhòu
𣅯 zhòu
𧳜 zhǒu
𦈺 zhǒu
𨥇 zhǒu,zhù
𣥯 zhǒu
𢫧 zhǒu
𥖠 zhóu,dú
𥾓 zhóu
𡊡 zhóu
𨏺 zhōu
𪆀 zhōu
𠤍 zhōu
𥌆 zhōu
𥼫 zhōu
𩶣 zhōu
𢐫 zhōu
𡀑 zhōu
𧇟 zhōu
𩢸 zhōu
𧣷 zhōu
𨉜 zhōu
𨂊 zhōu
𥺞 zhōu,yù
𥺝 zhōu
𨦞 zhōu
𧧔 zhōu
𦩈 zhōu
𧻖 zhōu
𥿦 zhōu
𢽧 zhōu
𥑸 zhōu
𩧳 zhōu
𢏝 zhōu
𠱙 zhōu,yù,jì,cù
𦭴 zhōu
𠣘 zhōu
𠄗 zhōu
𠚴 zhōu
𠄓 zhōu
𠃕 zhōu
𧬤 zhòng
𩾋 zhòng
𧳮 zhòng
𨉢 zhòng
𦌋 zhòng
𥻝 zhòng
𩿀 zhòng
𦔉 zhòng
𤚏 zhòng
𣱧 zhòng
𡥿 zhòng
𢝆 zhòng
𠱧 zhòng
𤺄 zhǒng,tóng
𡰒 zhǒng
𣹞 zhǒng
𡻑 zhǒng
𠊥 zhǒng
𥷈 zhōng
𥗦 zhōng
𩥫 chōng
𩅧 zhōng
𩅞 zhōng,chòng
