綹	绺
鋶	锍
鷚	鹨
龍	龙
蘢	茏
嚨	咙
瀧	泷
瓏	珑
櫳	栊
曨	昽
朧	胧
爖	𤇭
矓	眬
礱	砻
龓	𫜲
籠	笼
𦪽	𦨩
聾	聋
𨏠	𨐇
躘	𨀁
䪊	𫖅
䮾	𩧪
鸗	𫛟
隴	陇
壠	垅
攏	拢
徿	𪫌
壟	垄
𢤱	𢘙
贚	𫎦
瞜	䁖
婁	娄
僂	偻
蔞	蒌
遱	𫐷
嘍	喽
㺏	𤠋
慺	㥪
樓	楼
膢	𦝼
熡	𤋏
耬	耧
螻	蝼
謱	𫍴
髏	髅
䮫	𩨇
塿	𪣻
摟	搂
㟺	𪩇
嶁	嵝
漊	溇
簍	篓
瘻	瘘
瘺	瘘
鏤	镂
𨫒	𨱐
擼	撸
嚕	噜
盧	卢
壚	垆
蘆	芦
嚧	𠰷
廬	庐
瀘	泸
櫨	栌
臚	胪
爐	炉
矑	𪾦
㿖	𪽮
蠦	𫊮
艫	舻
轤	轳
鑪	𬬻
顱	颅
鸕	鸬
鱸	鲈
鹵	卤
虜	虏
滷	卤
魯	鲁
擄	掳
磠	硵
瀂	澛
櫓	橹
艣	𫇛
鐪	𫓺
鑥	镥
彔	录
陸	陆
淥	渌
祿	禄
輅	辂
賂	赂
録	录
錄	录
騄	𫘧
轆	辘
騼	𫠋
露覆	露复
籙	箓
鷺	鹭
氌	氇
巒	峦
孿	孪
孌	娈
欒	栾
攣	挛
臠	脔
圞	𪢮
